################################################################################################################################################
# ANALYSIS PARAMETERS
# ===================
# analysis at: 2016-10-05 17:12:30
#     dataset: AZI
# ref ms file: /ida/cal/raw/kapi/APSurvey/2016-0905/STN01_centaur-3_0829_20160905_005452.seed
#  start time: 2016-09-05T13:20:20.000000Z
#    end time: 2016-09-05T21:00:00.000000Z
#    seg size: 1024 secs
#    seg trim: 128 secs
#  coh cutoff: 0.98
# analysis sr: 5 hz
# analysis bp: [0.1, 0.3] hz
#     station: KAPI
#  pri sensor: True
#   pri chans: bhz,bh1,bh2
#     pri loc: 00
#  sec sensor: True
#   sec chans: bhz,bh1,bh2
#     sec loc: 10
#
KAPI REF/PRI 1: 2016-09-05T16:11:00.050000Z (1473091860.050000) amp: 1.0491; ang:  98.098; lrms: 1.342; var: 0.130; coh: 0.9915 0.980 (    ); analyzed: 2016-10-05; STN01_centaur-3_0829_20160905_005452.seed kapi_00_azi.ms
KAPI REF/PRI 1: 2016-09-05T16:28:04.050000Z (1473092884.050000) amp: 1.0399; ang:  98.499; lrms: 1.337; var: 0.143; coh: 0.9897 0.980 (    ); analyzed: 2016-10-05; STN01_centaur-3_0829_20160905_005452.seed kapi_00_azi.ms
KAPI REF/PRI 1: 2016-09-05T16:45:08.050000Z (1473093908.050000) amp: 1.0350; ang:  95.471; lrms: 1.373; var: 0.208; coh: 0.9781 0.980 (EXCL); analyzed: 2016-10-05; STN01_centaur-3_0829_20160905_005452.seed kapi_00_azi.ms
KAPI REF/PRI 1: 2016-09-05T17:02:12.050000Z (1473094932.050000) amp: 1.0182; ang:  99.115; lrms: 1.278; var: 0.167; coh: 0.9859 0.980 (    ); analyzed: 2016-10-05; STN01_centaur-3_0829_20160905_005452.seed kapi_00_azi.ms
KAPI REF/PRI 1: 2016-09-05T17:19:16.050000Z (1473095956.050000) amp: 1.0106; ang:  99.388; lrms: 1.329; var: 0.196; coh: 0.9806 0.980 (    ); analyzed: 2016-10-05; STN01_centaur-3_0829_20160905_005452.seed kapi_00_azi.ms
KAPI REF/PRI 1: 2016-09-05T17:36:20.050000Z (1473096980.050000) amp: 1.0274; ang:  97.706; lrms: 1.369; var: 0.250; coh: 0.9682 0.980 (EXCL); analyzed: 2016-10-05; STN01_centaur-3_0829_20160905_005452.seed kapi_00_azi.ms
KAPI REF/PRI 1: 2016-09-05T17:53:24.050000Z (1473098004.050000) amp: 1.0088; ang: 100.807; lrms: 1.365; var: 0.223; coh: 0.9747 0.980 (EXCL); analyzed: 2016-10-05; STN01_centaur-3_0829_20160905_005452.seed kapi_00_azi.ms
KAPI REF/PRI 1: 2016-09-05T18:10:28.050000Z (1473099028.050000) amp: 1.0730; ang:  98.117; lrms: 1.349; var: 0.182; coh: 0.9833 0.980 (    ); analyzed: 2016-10-05; STN01_centaur-3_0829_20160905_005452.seed kapi_00_azi.ms
KAPI REF/PRI 1: 2016-09-05T18:27:32.050000Z (1473100052.050000) amp: 1.0578; ang:  97.924; lrms: 1.380; var: 0.111; coh: 0.9938 0.980 (    ); analyzed: 2016-10-05; STN01_centaur-3_0829_20160905_005452.seed kapi_00_azi.ms
KAPI REF/PRI 1: 2016-09-05T18:44:36.050000Z (1473101076.050000) amp: 0.9861; ang:  97.235; lrms: 1.347; var: 0.223; coh: 0.9748 0.980 (EXCL); analyzed: 2016-10-05; STN01_centaur-3_0829_20160905_005452.seed kapi_00_azi.ms
